#ID	x	y
TH38_1430_S01	79.57814	183.3125
TH01_0120_S01	171.476	24.457
TH38_1421_S01	84.72565	167.4173
TH01_0135_S01	171.8926	25.064
THR12_0278_S01	70.4164	0.08
TH38_1321_S01	101.3763	135.80351
THR12_0278_S03	70.7403	0.441
THR14_1211_S01	0.0	181.5977
THR19_0479_S01	123.3719	128.49553
TH38_1334_S01	119.2749	132.07373
THR14_1231_S01	79.65942	183.8963
THR14_1217_S01	95.9387	133.43565
THR14_1236_S01	44.6929	104.989
THR14_1198_S01	104.1255	131.66728
TH38_1418_S01	56.9122	111.9925
THR21_0523_S01	95.01109	138.1831
THR14_1183_S01	66.734	118.50434
TH01_0707_S01	43.0079	104.2726
THR21_0551_S01	95.35143	138.2238
TH01_0674_S01	114.8133	134.41593
TH38_1442_S01	170.9262	23.531
TH01_0121_S01	172.6012	25.744
TH38_1426_S01	43.6868	116.75481
TH38_1317_S01	101.9702	136.4589
TH38_1434_S01	40.346	103.1967
TH38_1331_S01	86.396943	163.4454
TH01_0666_S02	171.0524	23.989
TH38_1438_S01	50.707	108.5415
TH01_0659_S01	124.8476	111.9465
THR19_0464_S01	123.3443	130.13476
TARGET-51-PALKEI-01	144.4291	220.1072
THR19_0415_S01	123.6488	127.81509
THR14_1233_S01	80.03373	182.8281
TH01_0669_S01	4.4485	176.2421
TH01_0676_S02	41.1765	104.4426
TH01_0708_S01	47.9132	105.8161
THR12_0365_S06	70.2559	0.599
TH01_0676_S01	125.5177	107.5087
THR14_1204_S01	104.1675	142.1794
THR14_1196_S01	98.6268	136.7039
THR14_1236_S02	40.5631	102.2519
TH01_0712_S01	41.491	102.4197
TH01_0670_S01	4.9686	175.3937
TH01_0123_S01	171.3986	25.685
TH38_1424_S01	11.3731	166.7948
TH38_1427_S01	85.40484	174.5405
TH38_1310_S01	87.19128	165.0451
TH38_1427_S02	84.45274	175.4769
TH01_0125_S01	171.0336	25.65
THR19_0411_S01	118.232	132.62828
TH01_0129_S01	169.9785	24.878
THR19_0477_S01	123.6014	129.84736
THR19_0438_S01	120.5823	131.03951
