#ID	cluster
THR21_0544_S01	cluster2
THR12_0282_S01	cluster5
THR21_0532_S02	cluster2
THR21_0532_S03	cluster2
TARGET-51-PAJLWU-01	cluster7
TH01_0678_S01	cluster1
THR21_0554_S01	cluster2
THR19_0425_S01	cluster2
TH01_0710_S01	cluster1
THR14_1203_S01	cluster2
TH01_0662_S01	cluster1
THR21_0552_S01	cluster2
THR19_0439_S01	cluster2
THR12_0365_S01	cluster5
TH38_1325_S01	cluster1
TH38_1316_S01	cluster2
TH38_1315_S01	cluster4
TH38_1437_S02	cluster4
TH38_1345_S01	cluster2
TH38_1319_S01	cluster1
TH38_1442_S02	cluster3
TH38_1329_S01	cluster6
TH01_0706_S01	cluster2
THR21_0526_S01	cluster2
THR21_0520_S01	cluster2
THR19_0428_S01	cluster2
THR19_0422_S01	cluster2
THR12_0365_S02	cluster5
THR12_0365_S03	cluster5
TARGET-51-PALFYG-01	cluster7
TH38_1324_S01	cluster2
THR21_0549_S01	cluster2
THR12_0365_S04	cluster5
TH38_1437_S01	cluster2
THR19_0475_S01	cluster2
THR19_0423_S01	cluster2
THR21_0559_S01	cluster2
TH01_0658_S01	cluster2
THR21_0531_S01	cluster1
THR19_0410_S01	cluster2
THR14_1235_S01	cluster4
TH38_1440_S01	cluster1
THR14_1215_S01	cluster6
TH01_0709_S01	cluster3
TH01_0715_S01	cluster2
THR14_1219_S01	cluster6
THR21_0528_S01	cluster2
THR12_0280_S01	cluster5
TH01_0713_S01	cluster2
TH38_1326_S01	cluster2
TARGET-51-PAJPFB-01	cluster7
THR21_0540_S01	cluster2
THR14_1201_S01	cluster2
TH38_1320_S01	cluster2
THR19_0427_S01	cluster2
THR12_0277_S01	cluster5
TH38_1439_S01	cluster1
THR19_0480_S01	cluster2
THR14_1234_S01	cluster4
THR14_1216_S01	cluster2
TH01_0667_S01	cluster3
TH01_0667_S02	cluster3
THR14_1180_S01	cluster2
THR19_0465_S01	cluster2
TH01_0131_S01	cluster3
TH01_0132_S01	cluster3
TH38_1431_S01	cluster2
THR19_0433_S01	cluster2
TH38_1429_S01	cluster4
TARGET-51-PAKWMM-01	cluster7
TARGET-51-PALFEF-01	cluster7
TH38_1443_S01	cluster1
THR19_0419_S01	cluster2
TH01_0665_S01	cluster3
TH38_1416_S01	cluster1
THR14_1210_S01	cluster2
THR14_1181_S01	cluster4
TH01_0661_S01	cluster1
THR19_0420_S01	cluster2
TH01_0130_S01	cluster3
TH38_1433_S01	cluster1
THR19_0476_S01	cluster2
THR21_0538_S01	cluster2
THR21_0542_S01	cluster2
TH38_1333_S01	cluster2
THR19_0431_S01	cluster2
THR21_0533_S01	cluster1
